c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
null,null,White Hall,Spring Hill,346514,2395.41,-9155.66
null,null,White Oak,Marion,104274,3974.94,-10343.33
null,null,Winslow,Newtown,442302,0.00,-14260.03
null,null,Woodlawn,Bethel,237661,2581.51,-10839.32
null,null,Woodville,Concord,433443,45.53,-8820.09
null,Alan                ,Bunker Hill,Forest Hills,66533,713.25,-3893.56
null,Arthur              ,Concord,Hillcrest,464034,2437.80,-13451.09
null,Barbara             ,Greenwood,Glenwood,343001,0.00,3831.28
null,Bessie              ,Providence,Oneida,138227,2428.69,-7704.14
null,Bradford            ,Plainview,Hopewell,470810,2738.27,2860.67
null,Brian               ,Jackson,Waterloo,231495,1812.19,-15059.22
null,Brittany            ,Deerfield,Greenville,458441,12.96,-5298.24
null,Carole              ,Oak Grove,The Meadows,423187,2599.90,-8589.46
null,Charles             ,Greenwood,Oakland,64392,328.22,-9350.43
null,Chris               ,Franklin,Enterprise,222215,3319.07,-2941.87
null,Christopher         ,Arlington,New Hope,288847,5794.14,-14513.47
null,Clarissa            ,Sunnyside,Friendship,202803,0.00,-1104.20
null,Coreen              ,Oak Grove,Glenwood,478108,2485.90,-3556.63
null,Danielle            ,Acme,Florence,117965,913.94,-7757.53
null,Danny               ,Belmont,Fairfield,43666,92.36,-7611.24
null,David               ,Edgewood,Maple Grove,303787,0.00,-7240.83
null,David               ,Walnut Grove,Oakwood,280467,632.84,-11381.21
null,Debra               ,Pleasant Hill,Riverdale,264168,2384.95,-7594.66
null,Diana               ,Valley View,Lakewood,253363,1436.07,-7091.52
null,Diane               ,Mount Zion,Elba,151624,428.32,-690.00
null,Dora                ,Hopewell,Antioch,172991,1577.04,-4037.83
null,Elisa               ,Liberty,Maple Grove,86277,0.00,192.55
null,Ernestina           ,Harmony,Five Points,184153,2292.49,-8718.93
null,Ernestine           ,Florence,Brownsville,155826,875.09,-10596.90
null,Ernestine           ,Florence,Roscoe,100781,9854.86,-9082.26
null,Gary                ,Shady Grove,Florence,441131,757.73,-10697.42
null,Jamie               ,Buena Vista,Lakeside,209005,0.00,-1210.54
null,Jerry               ,Waterloo,Sulphur Springs,203269,0.00,2419.71
null,John                ,Empire,Mount Pleasant,341753,3331.97,-10551.58
null,Joseph              ,Mount Pleasant,Woodville,211971,6709.11,-11825.31
null,Judy                ,Highland,Lebanon,50086,9.70,-8086.02
null,Katherine           ,Plainview,Red Hill,425988,4928.92,-10526.16
null,Kathleen            ,Oakdale,Riceville,88837,2755.39,-10090.18
null,Kenneth             ,Forest Hills,Greenfield,256999,496.12,-11076.49
null,Kyle                ,Fowler,Oak Grove,181695,3113.61,-8960.01
null,Leo                 ,Enterprise,Glendale,236901,4829.22,-9622.70
null,Lillian             ,Lakewood,Enterprise,479667,4037.35,-7161.08
null,Lois                ,Lakewood,Lakeview,153415,116.82,-8581.74
null,Lois                ,Lakewood,Woodlawn,153444,119.09,-1175.39
null,Matthew             ,Bunker Hill,Texas,302114,2485.19,-7521.23
null,Megan               ,Lebanon,Liberty,262319,5071.32,-7726.16
null,Michael             ,Stringtown,Franklin,376054,5190.38,-18424.60
